"Date","Price (Close)"
"2018-04-24","9646.24476237031"
"2018-04-23","8949.65579394314"
"2018-04-22","8807.876979102297"
"2018-04-21","8919.356298917555"
"2018-04-20","8870.554372954593"
"2018-04-19","8276.953513872155"
"2018-04-18","8167.293584979431"
"2018-04-17","7887.650399504946"
"2018-04-16","8056.63349362832"
"2018-04-15","8354.775020954572"
"2018-04-14","8002.766525942139"
"2018-04-13","7881.4662878845365"
"2018-04-12","7915.50685080822"
"2018-04-11","6946.605294701317"
"2018-04-10","6835.937308796045"
"2018-04-09","6769.453577034741"
"2018-04-08","7013.670380165742"
"2018-04-07","6897.637343887562"
"2018-04-06","6610.311743347193"
"2018-04-05","6768.486968509519"
"2018-04-04","6791.456542709126"
"2018-04-03","7409.932441458532"
"2018-04-02","7053.948972887633"
"2018-04-01","6815.334560199889"
"2018-03-31","6919.232967962111"
"2018-03-30","6828.216991393354"
"2018-03-29","7095.258998817706"
"2018-03-28","7941.699609706279"
"2018-03-27","7793.287291320572"
"2018-03-26","8143.4774903259495"
"2018-03-25","8458.974515344258"
"2018-03-24","8537.209105059886"
"2018-03-23","8913.735421123267"
"2018-03-22","8714.821924932996"
"2018-03-21","8894.790341832308"
"2018-03-20","8909.629926782833"
"2018-03-19","8602.76255062922"
"2018-03-18","8183.190401081282"
"2018-03-17","7851.232620301729"
"2018-03-16","8260.213568705656"
"2018-03-15","8252.63703968871"
"2018-03-14","8180.0188531500135"
"2018-03-13","9145.812705981334"
"2018-03-12","9125.621639092278"
"2018-03-11","9533.732217644949"
"2018-03-10","8781.89380404088"
"2018-03-09","9235.449074103313"
"2018-03-08","9294.538788010479"
"2018-03-07","9915.891195834374"
"2018-03-06","10719.854305150357"
"2018-03-05","11437.241106373505"
"2018-03-04","11500.297566824955"
"2018-03-03","11445.71509565888"
"2018-03-02","11022.623213978615"
"2018-03-01","10910.968536077744"
"2018-02-28","10319.607027185664"
"2018-02-27","10576.479914402422"
"2018-02-26","10318.381941831753"
"2018-02-25","9586.990392008913"
"2018-02-24","9688.772727764463"
"2018-02-23","10147.880891879115"
"2018-02-22","9832.889729273831"
"2018-02-21","10458.130289781573"
"2018-02-20","11224.113964781764"
"2018-02-19","11172.537959270774"
"2018-02-18","10416.270244980682"
"2018-02-17","11093.281629146037"
"2018-02-16","10181.350837717519"
"2018-02-15","10025.496500249083"
"2018-02-14","9470.036772307149"
"2018-02-13","8527.66899038644"
"2018-02-12","8896.085514561444"
"2018-02-11","8070.912825595991"
"2018-02-10","8554.148646133573"
"2018-02-09","8684.278670140458"
"2018-02-08","8244.598941410191"
"2018-02-07","7586.6210064577035"
"2018-02-06","7694.47408053752"
"2018-02-05","6884.77458199549"
"2018-02-04","8164.3101830716505"
"2018-02-03","9202.169507198532"
"2018-02-02","8839.708839543831"
"2018-02-01","9072.385974731567"
"2018-01-31","10171.356590290485"
"2018-01-30","10058.127095245856"
"2018-01-29","11174.172678758674"
"2018-01-28","11683.697226848135"
"2018-01-27","11422.218637309115"
"2018-01-26","11082.769045258232"
"2018-01-25","11159.997853318004"
"2018-01-24","11397.847747863785"
"2018-01-23","10830.978865188523"
"2018-01-22","10812.081878625631"
"2018-01-21","11557.432344823967"
"2018-01-20","12814.655354242392"
"2018-01-19","11566.113947333379"
"2018-01-18","11198.8633434062"
"2018-01-17","11157.965178269505"
"2018-01-16","11304.923264970786"
"2018-01-15","13621.014420116559"
"2018-01-14","13614.678907393924"
"2018-01-13","14258.65386077519"
"2018-01-12","13843.2928437337"
"2018-01-11","13334.860530443084"
"2018-01-10","14929.541553712845"
"2018-01-09","14521.284507095485"
"2018-01-08","15004.625399717717"
"2018-01-07","16247.139348272103"
"2018-01-06","17161.25162869855"
"2018-01-05","17002.02645489005"
"2018-01-04","15234.308881945399"
"2018-01-03","15155.526355563727"
"2018-01-02","14810.380573865876"
"2018-01-01","13476.730077519052"
"2017-12-31","13930.575389720027"
"2017-12-30","12591.514131480486"
"2017-12-29","14478.41718236278"
"2017-12-28","14458.030933978618"
"2017-12-27","15469.551909602435"
"2017-12-26","15785.000619347271"
"2017-12-25","13870.177186854065"
"2017-12-24","13912.086778957788"
"2017-12-23","14483.41954234101"
"2017-12-22","13793.03339804463"
"2017-12-21","15614.556740101893"
"2017-12-20","16499.858386895492"
"2017-12-19","17626.01649442231"
"2017-12-18","18966.998159790302"
"2017-12-17","19067.961703981808"
"2017-12-16","19385.69154424114"
"2017-12-15","17621.86527479018"
"2017-12-14","16486.55228962477"
"2017-12-13","16293.18220107995"
"2017-12-12","17089.457766903182"
"2017-12-11","16743.148961365285"
"2017-12-10","15025.695904935194"
"2017-12-09","15009.257298123699"
"2017-12-08","16152.804650614415"
"2017-12-07","17492.21722377363"
"2017-12-06","13719.13555167091"
"2017-12-05","11656.203298467819"
"2017-12-04","11617.245228346306"
"2017-12-03","11224.359405736597"
"2017-12-02","10893.010802332803"
"2017-12-01","10868.582920382325"
"2017-11-30","9951.160989942904"
"2017-11-29","9807.084705631762"
"2017-11-28","9901.062464519495"
"2017-11-27","9724.349003977599"
"2017-11-26","9293.867508550113"
"2017-11-25","8743.97530745341"
"2017-11-24","8182.9511432254285"
"2017-11-23","7995.583885321453"
"2017-11-22","8229.96552171534"
"2017-11-21","8082.908768656766"
"2017-11-20","8232.329401327015"
